"PDF","LONG_SPAT","SPECIES","TREAT_BASELINE","CONTROL_BASELINE","TREAT_POST","CONTROL_POST","UNIT","SEASON","SAMPLING","INTERVENTION","COUNTRY","MONTH_START","MONTH_END","TREAT_BASELINE_NSAMP","CONTROL_BASELINE_NSAMP","TREAT_POST_NSAMP","CONTROL_POST_NSAMP"
"1327","spatial","gambiae complex",NA,NA,0.55,52,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","9","9",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.36,51.86,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","10","10",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.64,25.57,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","10","10",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.09,23.83,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","11","11",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.27,31,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","11","11",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.18,16.29,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","11","11",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0,9.67,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","12","12",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0,2.5,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","12","12",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0,4.25,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","12","12",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,1.4,14.5,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","6","6",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.6,30.17,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","6","6",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.9,58,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","7","7",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,0.6,66.14,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","7","7",NA,NA,10,8
"1327","spatial","gambiae complex",NA,NA,6.37,82.14,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","8","8",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.14,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","9","9",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,3.14,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","9","9",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,2.43,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","10","10",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,1.71,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","10","10",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.33,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","11","11",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.6,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","11","11",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.14,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","11","11",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.29,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","12","12",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.25,"mean/house","dry","HRI","insecticide curtains","Burkina Faso","12","12",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.2,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","7","7",NA,NA,10,8
"1327","spatial","funestus",NA,NA,0,0.5,"mean/house","rainy","HRI","insecticide curtains","Burkina Faso","7","7",NA,NA,10,8
"1334","spatial","gambiae complex",NA,NA,2.45,8.07,"mean/night","rainy","HRI","ITN","The Gambia","6","11",NA,NA,NA,NA
"1334","spatial","gambiae complex",NA,NA,6.86,9.44,"mean/night","rainy","HRI","ITN","The Gambia","6","11",NA,NA,NA,NA
"1334","spatial","gambiae complex",NA,NA,3.98,6.47,"mean/night","rainy","HRI","ITN","The Gambia","6","11",NA,NA,NA,NA
"1334","spatial","gambiae complex",NA,NA,6.38,9.96,"mean/night","rainy","WinExit","ITN","The Gambia","6","11",NA,NA,NA,NA
"1334","spatial","gambiae complex",NA,NA,4.28,5.35,"mean/night","rainy","WinExit","ITN","The Gambia","6","11",NA,NA,NA,NA
"1334","spatial","gambiae complex",NA,NA,1.48,2.42,"mean/night","rainy","WinExit","ITN","The Gambia","6","11",NA,NA,NA,NA
"1404","spatial","gambiae complex",NA,NA,NA,NA,NA,"both","HRI","ITN","Kenya","3","1",NA,NA,NA,NA
"1404","spatial","funestus",NA,NA,NA,NA,NA,"both","HRI","ITN","Kenya","3","1",NA,NA,NA,NA
"1502","spatial","gambiae complex",NA,NA,0.1,0.42,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","gambiae complex",NA,NA,0.22,4.42,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
